ts,product,size_threshold,bid_open_xch,bid_open,bid_high_xch,bid_high,bid_low_xch,bid_low,bid_close_xch,bid_close,bid_qty_close,ask_open_xch,ask_open,ask_high_xch,ask_high,ask_low_xch,ask_low,ask_close_xch,ask_close,ask_qty_close,mid_open,mid_high,mid_low,mid_close
2021-09-25 15:52:00,BTC-USD,0.0,kraken,42701.00000000,kraken,42701.00000000,bitstamp,42681.52000000,gemini,42689.28000000,0.0003829,gdax,42663.71000000,kraken,42687.50000000,gdax,42655.72000000,gdax,42681.08000000,0.00194841,42682.355000000000,42694.250000000000,42668.620000000000,42685.180000000000
2021-09-25 15:53:00,BTC-USD,0.0,gdax,42695.40000000,gdax,42723.51000000,kraken,42717.40000000,kraken,42679.70000000,0.00735600,gemini,42693.38000000,kraken,42679.80000000,gdax,42657.56000000,gdax,42660.11000000,0.11720632,42694.390000000000,42701.655000000000,42687.480000000000,42669.905000000000
2021-09-25 15:54:00,BTC-USD,0.0,kraken,42679.70000000,gemini,42694.10000000,bitstamp,42684.76000000,kraken,42679.70000000,0.00735600,gdax,42660.78000000,kraken,42679.80000000,gdax,42657.80000000,gdax,42664.49000000,0.1,42670.240000000000,42686.950000000000,42671.280000000000,42672.095000000000
2021-09-25 15:55:00,BTC-USD,0.0,kraken,42679.70000000,gdax,42733.18000000,kraken,42718.50000000,gemini,42731.93000000,0.39096698,gdax,42660.42000000,kraken,42679.80000000,gdax,42656.80000000,kraken,42718.60000000,0.00197440,42670.060000000000,42706.490000000000,42687.650000000000,42725.265000000000
2021-09-25 15:56:00,BTC-USD,0.0,gdax,42729.71000000,gdax,42729.71000000,bitstamp,42715.37000000,gemini,42706.79000000,0.00736649,kraken,42718.60000000,gemini,42706.20000000,gdax,42689.87000000,gdax,42689.87000000,0.1412,42724.155000000000,42717.955000000000,42702.620000000000,42698.330000000000
2021-09-25 15:57:00,BTC-USD,0.0,gemini,42706.79000000,gemini,42706.79000000,bitstamp,42683.26000000,gemini,42681.38000000,0.11,gdax,42689.87000000,gemini,42683.50000000,gdax,42674.04000000,gdax,42676.05000000,0.11716178,42698.330000000000,42695.145000000000,42678.650000000000,42678.715000000000
2021-09-25 15:58:00,BTC-USD,0.0,gemini,42687.12000000,gemini,42719.46000000,kraken,42689.90000000,gemini,42714.40000000,0.0091273,gdax,42684.92000000,bitstamp,42691.06000000,gdax,42678.90000000,kraken,42690.00000000,0.08551945,42686.020000000000,42705.260000000000,42684.400000000000,42702.200000000000
2021-09-25 15:59:00,BTC-USD,0.0,gemini,42714.40000000,gemini,42714.40000000,kraken,42689.90000000,gemini,42703.08000000,0.01242199,kraken,42690.00000000,bitstamp,42702.11000000,kraken,42690.00000000,kraken,42690.00000000,0.09689507,42702.200000000000,42708.255000000000,42689.950000000000,42696.540000000000
2021-09-25 16:00:00,BTC-USD,0.0,gemini,42699.29000000,gemini,42720.88000000,kraken,42689.90000000,gemini,42711.60000000,0.01320204,kraken,42690.00000000,gemini,42700.33000000,gdax,42684.08000000,kraken,42690.00000000,0.09250487,42694.645000000000,42710.605000000000,42686.990000000000,42700.800000000000
2021-09-25 16:01:00,BTC-USD,0.0,gemini,42710.46000000,gdax,42764.73000000,kraken,42748.70000000,gemini,42761.97000000,0.06,kraken,42690.00000000,gemini,42709.48000000,kraken,42690.00000000,kraken,42748.80000000,0.00091775,42700.230000000000,42737.105000000000,42719.350000000000,42755.385000000000
2021-09-25 16:02:00,BTC-USD,0.0,gemini,42762.00000000,gemini,42762.74000000,bitstamp,42753.64000000,gemini,42663.62000000,0.00058539,kraken,42748.80000000,gemini,42663.63000000,gdax,42647.87000000,gdax,42647.87000000,0.00193065,42755.400000000000,42713.185000000000,42700.755000000000,42655.745000000000
2021-09-25 16:03:00,BTC-USD,0.0,gemini,42663.62000000,gemini,42667.80000000,kraken,42661.00000000,kraken,42630.90000000,0.15865342,gdax,42653.06000000,kraken,42631.00000000,gdax,42615.66000000,gdax,42618.33000000,0.00138222,42658.340000000000,42649.400000000000,42638.330000000000,42624.615000000000
2021-09-25 16:04:00,BTC-USD,0.0,kraken,42630.90000000,gemini,42636.64000000,bitstamp,42619.02000000,gemini,42556.68000000,0.01,bitstamp,42622.73000000,kraken,42546.00000000,gdax,42520.98000000,gdax,42555.23000000,0.02790345,42626.815000000000,42591.320000000000,42570.000000000000,42555.955000000000
2021-09-25 16:05:00,BTC-USD,0.0,gemini,42556.70000000,gdax,42601.74000000,kraken,42565.60000000,kraken,42550.00000000,0.15197699,gdax,42550.02000000,kraken,42550.10000000,gdax,42540.38000000,gdax,42542.29000000,0.54500000,42553.360000000000,42575.920000000000,42552.990000000000,42546.145000000000
2021-09-25 16:06:00,BTC-USD,0.0,kraken,42550.00000000,gdax,42592.80000000,kraken,42565.60000000,gemini,42575.24000000,0.01316119,gdax,42540.37000000,kraken,42550.10000000,gdax,42537.29000000,kraken,42565.40000000,0.00010000,42545.185000000000,42571.450000000000,42551.445000000000,42570.320000000000
2021-09-25 16:07:00,BTC-USD,0.0,gemini,42567.18000000,gdax,42590.01000000,kraken,42565.60000000,gdax,42590.01000000,3.64166966,kraken,42565.40000000,gemini,42556.54000000,gdax,42546.97000000,kraken,42565.70000000,0.13063579,42566.290000000000,42573.275000000000,42556.285000000000,42577.855000000000
2021-09-25 16:08:00,BTC-USD,0.0,gdax,42597.35000000,gdax,42610.98000000,kraken,42565.60000000,gemini,42474.24000000,0.000003580000,kraken,42565.70000000,gemini,42476.03000000,gdax,42462.58000000,kraken,42465.20000000,0.69240400,42581.525000000000,42543.505000000000,42514.090000000000,42469.720000000000
2021-09-25 16:09:00,BTC-USD,0.0,gemini,42474.24000000,gemini,42488.95000000,bitstamp,42476.62000000,kraken,42430.00000000,0.00447901,kraken,42465.20000000,kraken,42430.10000000,gdax,42408.75000000,gdax,42425.24000000,0.02621953,42469.720000000000,42459.525000000000,42442.685000000000,42427.620000000000
2021-09-25 16:10:00,BTC-USD,0.0,gemini,42431.62000000,gdax,42487.52000000,bitstamp,42461.61000000,kraken,42414.10000000,0.01192780,gdax,42430.73000000,kraken,42414.20000000,gdax,42384.60000000,gdax,42384.60000000,0.02030535,42431.175000000000,42450.860000000000,42423.105000000000,42399.350000000000
2021-09-25 16:11:00,BTC-USD,0.0,kraken,42414.10000000,gemini,42461.30000000,kraken,42445.70000000,kraken,42414.10000000,0.01142936,gemini,42391.17000000,kraken,42414.20000000,gdax,42387.23000000,gdax,42403.82000000,0.018,42402.635000000000,42437.750000000000,42416.465000000000,42408.960000000000
2021-09-25 16:12:00,BTC-USD,0.0,kraken,42414.10000000,gemini,42491.43000000,kraken,42466.40000000,gemini,42429.52000000,0.00861702,gdax,42402.30000000,kraken,42405.10000000,gdax,42374.10000000,gdax,42427.65000000,0.18,42408.200000000000,42448.265000000000,42420.250000000000,42428.585000000000
2021-09-25 16:13:00,BTC-USD,0.0,gemini,42431.38000000,gemini,42459.09000000,kraken,42448.90000000,gemini,42457.58000000,0.03138616,kraken,42430.10000000,bitstamp,42430.95000000,gdax,42404.00000000,kraken,42423.90000000,0.01525288,42430.740000000000,42445.020000000000,42426.450000000000,42440.740000000000
2021-09-25 16:14:00,BTC-USD,0.0,gemini,42459.09000000,gemini,42466.61000000,kraken,42423.90000000,gemini,42427.54000000,0.01493557,kraken,42423.90000000,gemini,42435.22000000,gdax,42420.02000000,gdax,42423.09000000,0.00616775,42441.495000000000,42450.915000000000,42421.960000000000,42425.315000000000
2021-09-25 16:15:00,BTC-USD,0.0,gemini,42429.01000000,gemini,42488.81000000,kraken,42471.20000000,gemini,42476.28000000,0.01192629,gdax,42420.56000000,gemini,42409.08000000,gdax,42392.19000000,kraken,42471.30000000,0.10000000,42424.785000000000,42448.945000000000,42431.695000000000,42473.790000000000
2021-09-25 16:16:00,BTC-USD,0.0,gemini,42476.28000000,gemini,42514.95000000,kraken,42498.70000000,gemini,42512.61000000,0.02168645,kraken,42472.20000000,gemini,42484.11000000,kraken,42472.20000000,kraken,42498.80000000,0.00215644,42474.240000000000,42499.530000000000,42485.450000000000,42505.705000000000
2021-09-25 16:17:00,BTC-USD,0.0,gemini,42511.20000000,gemini,42512.37000000,bitstamp,42505.82000000,gemini,42494.72000000,0.00037909,kraken,42498.80000000,gemini,42488.25000000,gdax,42477.20000000,gdax,42485.50000000,0.00450992,42505.000000000000,42500.310000000000,42491.510000000000,42490.110000000000
2021-09-25 16:18:00,BTC-USD,0.0,gemini,42494.72000000,gdax,42500.02000000,kraken,42484.50000000,gemini,42477.66000000,0.88,kraken,42484.20000000,gemini,42454.34000000,gdax,42435.07000000,gdax,42466.92000000,0.00368994,42489.460000000000,42477.180000000000,42459.785000000000,42472.290000000000
2021-09-25 16:19:00,BTC-USD,0.0,gemini,42477.81000000,gemini,42483.81000000,gdax,42476.56000000,kraken,42437.50000000,0.00417400,gdax,42466.95000000,kraken,42437.60000000,gdax,42410.50000000,gdax,42411.03000000,0.00280072,42472.380000000000,42460.705000000000,42443.530000000000,42424.265000000000
2021-09-25 16:20:00,BTC-USD,0.0,kraken,42437.50000000,gemini,42463.14000000,kraken,42451.10000000,gemini,42441.09000000,0.00457631,gdax,42410.96000000,kraken,42426.30000000,gdax,42401.53000000,gdax,42427.28000000,1.26,42424.230000000000,42444.720000000000,42426.315000000000,42434.185000000000
2021-09-25 16:21:00,BTC-USD,0.0,gemini,42441.09000000,gdax,42470.72000000,bitstamp,42458.46000000,kraken,42460.30000000,0.15000000,gdax,42425.56000000,kraken,42426.30000000,gdax,42404.81000000,gdax,42453.07000000,0.00163788,42433.325000000000,42448.510000000000,42431.635000000000,42456.685000000000
2021-09-25 16:22:00,BTC-USD,0.0,kraken,42460.30000000,kraken,42460.30000000,bitstamp,42447.29000000,kraken,42454.70000000,0.15416600,gdax,42454.13000000,kraken,42454.80000000,gdax,42431.68000000,gdax,42434.36000000,0.03141008,42457.215000000000,42457.550000000000,42439.485000000000,42444.530000000000
2021-09-25 16:23:00,BTC-USD,0.0,kraken,42454.70000000,gemini,42469.03000000,kraken,42454.70000000,gemini,42461.21000000,0.10733323,gdax,42440.36000000,kraken,42454.80000000,gdax,42436.05000000,gdax,42453.56000000,0.0043,42447.530000000000,42461.915000000000,42445.375000000000,42457.385000000000
2021-09-25 16:24:00,BTC-USD,0.0,gemini,42461.21000000,gemini,42461.21000000,bitstamp,42441.38000000,kraken,42454.70000000,0.13294651,gdax,42452.02000000,kraken,42454.80000000,gdax,42419.14000000,gemini,42445.07000000,0.02355,42456.615000000000,42458.005000000000,42430.260000000000,42449.885000000000
2021-09-25 16:25:00,BTC-USD,0.0,kraken,42454.70000000,gemini,42522.93000000,kraken,42490.20000000,gemini,42507.41000000,0.0085647,gemini,42445.07000000,kraken,42454.80000000,gdax,42440.57000000,kraken,42490.30000000,0.00034648,42449.885000000000,42488.865000000000,42465.385000000000,42498.855000000000
2021-09-25 16:26:00,BTC-USD,0.0,gemini,42508.27000000,gemini,42510.97000000,kraken,42498.70000000,gemini,42510.20000000,0.00910218,kraken,42490.30000000,gemini,42486.76000000,gdax,42470.03000000,kraken,42498.80000000,0.00127442,42499.285000000000,42498.865000000000,42484.365000000000,42504.500000000000
2021-09-25 16:27:00,BTC-USD,0.0,gemini,42511.16000000,gemini,42516.41000000,kraken,42498.70000000,gemini,42507.95000000,0.02463803,kraken,42498.80000000,kraken,42498.80000000,gdax,42470.46000000,gdax,42494.10000000,1.5,42504.980000000000,42507.605000000000,42484.580000000000,42501.025000000000
2021-09-25 16:28:00,BTC-USD,0.0,gemini,42507.95000000,gemini,42530.34000000,bitstamp,42510.63000000,gemini,42530.34000000,3.99999918,gdax,42494.10000000,gemini,42509.55000000,gdax,42491.44000000,gdax,42517.44000000,0.11760339,42501.025000000000,42519.945000000000,42501.035000000000,42523.890000000000
2021-09-25 16:29:00,BTC-USD,0.0,gemini,42530.58000000,gdax,42588.25000000,kraken,42573.70000000,gdax,42588.25000000,0.22331095,gdax,42518.89000000,gemini,42530.79000000,gdax,42514.33000000,kraken,42573.80000000,0.00126866,42524.735000000000,42559.520000000000,42544.015000000000,42581.025000000000
2021-09-25 16:30:00,BTC-USD,0.0,gemini,42586.70000000,gemini,42589.40000000,kraken,42573.70000000,gemini,42589.40000000,1.03750941,kraken,42573.80000000,kraken,42544.50000000,gdax,42531.34000000,kraken,42573.80000000,0.00126865,42580.250000000000,42566.950000000000,42552.520000000000,42581.600000000000
2021-09-25 16:31:00,BTC-USD,0.0,gemini,42589.40000000,gdax,42598.13000000,bitstamp,42593.51000000,gdax,42598.12000000,0.0917,kraken,42573.80000000,bitstamp,42579.39000000,gdax,42570.29000000,gemini,42594.98000000,0.08282847,42581.600000000000,42588.760000000000,42581.900000000000,42596.550000000000
2021-09-25 16:32:00,BTC-USD,0.0,gdax,42600.07000000,gdax,42634.64000000,kraken,42599.90000000,gdax,42614.73000000,0.00609999,gemini,42594.98000000,bitstamp,42596.93000000,gdax,42581.73000000,kraken,42600.00000000,0.01182616,42597.525000000000,42615.785000000000,42590.815000000000,42607.365000000000
2021-09-25 16:33:00,BTC-USD,0.0,gdax,42614.73000000,gemini,42647.70000000,kraken,42642.40000000,gemini,42640.09000000,0.01867565,kraken,42600.00000000,bitstamp,42623.27000000,kraken,42600.00000000,kraken,42640.80000000,0.88000000,42607.365000000000,42635.485000000000,42621.200000000000,42640.445000000000
2021-09-25 16:34:00,BTC-USD,0.0,kraken,42638.90000000,gemini,42697.94000000,kraken,42667.00000000,gemini,42697.94000000,0.03350578,kraken,42639.00000000,bitstamp,42651.48000000,kraken,42639.00000000,kraken,42667.10000000,0.21900000,42638.950000000000,42674.710000000000,42653.000000000000,42682.520000000000
2021-09-25 16:35:00,BTC-USD,0.0,gemini,42697.94000000,gemini,42762.42000000,kraken,42729.30000000,gdax,42759.10000000,0.88,kraken,42667.10000000,bitstamp,42707.08000000,kraken,42667.10000000,kraken,42729.40000000,0.00401977,42682.520000000000,42734.750000000000,42698.200000000000,42744.250000000000
2021-09-25 16:36:00,BTC-USD,0.0,gdax,42759.33000000,gdax,42759.33000000,kraken,42729.30000000,gemini,42717.63000000,0.00019797,kraken,42729.40000000,bitstamp,42709.44000000,gdax,42694.15000000,gdax,42698.02000000,0.18,42744.365000000000,42734.385000000000,42711.725000000000,42707.825000000000
2021-09-25 16:37:00,BTC-USD,0.0,gemini,42704.03000000,gemini,42708.29000000,bitstamp,42696.34000000,kraken,42692.20000000,0.11487994,gdax,42695.55000000,kraken,42692.30000000,gdax,42651.81000000,gdax,42664.80000000,0.11719742,42699.790000000000,42700.295000000000,42674.075000000000,42678.500000000000
2021-09-25 16:38:00,BTC-USD,0.0,kraken,42692.20000000,kraken,42692.20000000,gdax,42658.84000000,kraken,42626.20000000,0.00047016,gdax,42660.21000000,kraken,42626.30000000,gdax,42609.81000000,gdax,42615.62000000,0.10413799,42676.205000000000,42659.250000000000,42634.325000000000,42620.910000000000
2021-09-25 16:39:00,BTC-USD,0.0,kraken,42626.20000000,gemini,42680.88000000,kraken,42671.30000000,gemini,42653.85000000,0.00026966,gdax,42619.58000000,bitstamp,42628.14000000,gdax,42614.86000000,kraken,42652.00000000,0.01552494,42622.890000000000,42654.510000000000,42643.080000000000,42652.925000000000
2021-09-25 16:40:00,BTC-USD,0.0,gemini,42654.09000000,gdax,42663.91000000,kraken,42656.40000000,kraken,42601.20000000,0.00042315,kraken,42652.00000000,kraken,42601.30000000,gdax,42583.94000000,gdax,42595.00000000,0.01791393,42653.045000000000,42632.605000000000,42620.170000000000,42598.100000000000
2021-09-25 16:41:00,BTC-USD,0.0,kraken,42601.20000000,kraken,42601.20000000,gdax,42586.89000000,kraken,42551.20000000,0.00034275,gdax,42589.24000000,kraken,42551.30000000,gdax,42532.57000000,gdax,42532.57000000,0.10000000,42595.220000000000,42576.250000000000,42559.730000000000,42541.885000000000
2021-09-25 16:42:00,BTC-USD,0.0,kraken,42551.20000000,gemini,42592.05000000,bitstamp,42575.44000000,kraken,42551.20000000,0.00034275,gdax,42532.57000000,kraken,42551.30000000,gdax,42532.57000000,gdax,42532.57000000,0.1975,42541.885000000000,42571.675000000000,42554.005000000000,42541.885000000000
2021-09-25 16:43:00,BTC-USD,0.0,kraken,42551.20000000,kraken,42551.20000000,bitstamp,42536.44000000,kraken,42551.20000000,0.00034275,gdax,42532.14000000,kraken,42551.30000000,gdax,42521.01000000,gdax,42534.71000000,0.11755638,42541.670000000000,42551.250000000000,42528.725000000000,42542.955000000000
2021-09-25 16:44:00,BTC-USD,0.0,kraken,42551.20000000,kraken,42551.20000000,bitstamp,42524.20000000,kraken,42526.20000000,0.00030848,gdax,42534.71000000,kraken,42526.30000000,gdax,42489.01000000,gdax,42507.15000000,0.11763206,42542.955000000000,42538.750000000000,42506.605000000000,42516.675000000000
2021-09-25 16:45:00,BTC-USD,0.0,kraken,42526.20000000,kraken,42526.20000000,bitstamp,42501.47000000,kraken,42526.20000000,0.11545233,gdax,42507.15000000,kraken,42526.30000000,gdax,42490.24000000,gdax,42493.95000000,0.117672,42516.675000000000,42526.250000000000,42495.855000000000,42510.075000000000
2021-09-25 16:46:00,BTC-USD,0.0,kraken,42526.20000000,gdax,42584.64000000,kraken,42551.70000000,gemini,42560.12000000,0.01121679,gdax,42489.01000000,kraken,42503.00000000,gdax,42478.93000000,kraken,42555.20000000,2.86716550,42507.605000000000,42543.820000000000,42515.315000000000,42557.660000000000
2021-09-25 16:47:00,BTC-USD,0.0,gemini,42579.22000000,gemini,42591.98000000,bitstamp,42583.61000000,gemini,42587.40000000,0.00783233,kraken,42561.60000000,bitstamp,42580.06000000,kraken,42561.60000000,kraken,42584.80000000,0.39363572,42570.410000000000,42586.020000000000,42572.605000000000,42586.100000000000
2021-09-25 16:48:00,BTC-USD,0.0,gemini,42588.79000000,gdax,42630.20000000,gemini,42623.48000000,gdax,42623.88000000,0.00199374,kraken,42584.80000000,bitstamp,42590.12000000,gdax,42580.93000000,gemini,42623.48000000,0.01142765,42586.795000000000,42610.160000000000,42602.205000000000,42623.680000000000
2021-09-25 16:49:00,BTC-USD,0.0,gdax,42625.27000000,gdax,42707.77000000,kraken,42673.70000000,bitstamp,42682.59000000,0.05894268,gemini,42623.48000000,bitstamp,42622.54000000,gdax,42610.98000000,kraken,42673.80000000,0.10046651,42624.375000000000,42665.155000000000,42642.340000000000,42678.195000000000
2021-09-25 16:50:00,BTC-USD,0.0,bitstamp,42682.59000000,gdax,42707.97000000,kraken,42673.70000000,kraken,42673.00000000,0.11361564,kraken,42673.80000000,kraken,42673.10000000,gdax,42646.59000000,gemini,42653.59000000,0.02356409,42678.195000000000,42690.535000000000,42660.145000000000,42663.295000000000
